Size,Tag,Criterion,Time,Matches,Accuracy
5,15,0,0.392,10,100
5,0,0,0.103,10,100
5,14,1,0.122,6,60
5,13,1,0.163,6,60
5,15,1,0.076,10,100
5,12,1,0.192,7,70
5,0,1,0.087,10,100
5,1,1,0.087,10,100
5,11,1,0.087,8,80
5,14,2,2.53,10,100
5,12,0,0.299,8,80
5,15,2,2.505,8,80
5,13,2,3.195,8,80
5,12,2,3.538,7,70
5,11,2,2.525,7,70
5,1,2,2.689,7,70
5,11,3,8.728,7,70
5,15,3,8.424,9,90
5,13,3,9.408,8,80
5,0,3,8.933,9,90
5,1,3,8.673,9,90
5,14,3,8.314,10,100
5,0,2,5.423,9,90
5,11,0,0.27,8,80
5,12,3,8.106,6,60
5,1,0,0.239,10,100
5,13,0,0.259,7,70
5,14,0,0.234,9,90
6,13,1,0.087,12,100
6,13,2,2.528,12,100
6,11,1,0.095,12,100
6,12,1,0.143,12,100
6,14,3,8.018,9,75
6,12,0,0.396,8,66.6
6,12,2,3.418,10,83.3
6,11,2,4.431,6,50
6,1,2,3.203,11,91.6
6,14,0,0.499,9,75
6,1,1,0.085,12,100
6,0,1,0.139,12,100
6,11,3,8.48,9,75
6,0,0,0.45,12,100
6,12,3,8.326,10,83.3
6,15,0,0.099,12,100
6,1,3,9.208,9,75
6,13,3,9.202,12,100
6,14,1,0.13,12,100
6,14,2,5.069,12,100
6,1,0,0.104,12,100
6,15,2,4.434,12,100
6,13,0,0.245,12,100
6,15,1,0.077,12,100
6,11,0,0.266,12,100
6,15,3,9.848,7,58.3
6,0,2,3.558,12,100
6,0,3,8.414,9,75
7,12,1,0.312,14,100
7,1,1,0.201,8,57.1
7,11,2,2.528,10,71.4
7,14,0,1,9,64.2
7,15,3,8.551,11,78.5
7,14,2,3.838,9,64.2
7,15,2,2.463,8,57.1
7,0,0,0.45,14,100
7,11,1,0.209,8,57.1
7,1,3,9.493,11,78.5
7,13,3,9.626,12,85.7
7,0,1,0.108,14,100
7,13,1,0.159,14,100
7,15,0,0.125,14,100
7,1,0,1.489,10,71.4
7,14,3,9.127,9,64.2
7,13,0,0.832,14,100
7,14,1,0.206,8,57.1
7,11,0,0.823,10,71.4
7,15,1,0.1,14,100
7,12,0,0.64,10,71.4
7,12,2,2.841,9,64.2
7,0,2,2.508,8,57.1
7,12,3,8.611,8,57.1
7,1,2,0,10,71.4
7,13,2,4.129,14,100
7,0,3,8.722,8,57.1
7,11,3,8.649,10,71.4
8,12,3,9.103,11,68.7
8,1,1,0.137,16,100
8,12,1,0.124,16,100
8,11,1,0.142,16,100
8,13,1,0.199,9,56.2
8,0,1,0.143,16,100
8,13,3,0,13,81.2
8,11,2,2.439,10,62.5
8,14,1,0.146,9,56.2
8,15,3,8.336,16,100
8,0,3,0,16,100
8,1,3,9.164,11,68.7
8,15,1,0.139,9,56.2
8,15,2,2.523,16,100
8,14,0,1.663,9,56.2
8,0,0,0.152,16,100
8,12,2,2.998,9,56.2
8,1,0,0.153,16,100
8,0,2,2.94,16,100
8,13,0,0.887,16,100
8,11,0,0.171,16,100
8,14,3,8.765,10,62.5
8,11,3,8.368,13,81.2
8,12,0,0.15,16,100
8,13,2,2.574,10,62.5
8,15,0,1.397,11,68.7
8,1,2,5.785,10,62.5
8,14,2,2.646,10,62.5
9,11,3,9.526,14,77.7
9,12,0,1.705,11,61.1
9,1,1,0.167,18,100
9,1,3,8.934,13,72.2
9,15,1,0.839,11,61.1
9,15,3,9.158,11,61.1
9,1,0,0.348,18,100
9,12,1,0.29,10,55.5
9,0,2,2.46,11,61.1
9,13,1,0.159,18,100
9,12,2,2.826,11,61.1
9,13,0,0.238,18,100
9,0,3,8.575,13,72.2
9,11,2,2.436,16,88.8
9,14,1,0.196,10,55.5
9,15,2,3.585,13,72.2
9,12,3,9.415,12,66.6
9,11,1,0.252,10,55.5
9,14,3,8.571,14,77.7
9,13,2,3.119,18,100
9,13,3,8.966,11,61.1
9,0,0,1.737,12,66.6
9,14,2,3.318,15,83.3
9,15,0,2.149,12,66.6
9,0,1,0.221,18,100
9,14,0,0.653,11,61.1
9,11,0,1.58,11,61.1
9,1,2,0,18,100
10,11,3,9.41,20,100
10,12,1,0.218,11,55
10,13,0,5.557,12,60
10,13,2,4.783,20,100
10,13,1,0.77,12,60
10,15,0,2.452,12,60
10,14,1,0.451,11,55
10,15,2,3.061,11,55
10,0,2,7.32,20,100
10,0,0,1.403,13,65
10,12,0,1.939,11,55
10,15,1,0.233,11,55
10,0,1,0.22,11,55
10,1,0,0.222,20,100
10,11,0,1.313,20,100
10,11,2,2.498,20,100
10,1,3,8.563,13,65
10,1,2,3.748,20,100
10,1,1,0.191,20,100
10,12,2,2.539,13,65
10,14,2,2.601,15,75
10,13,3,9.458,12,60
10,14,0,1.576,12,60
10,0,3,8.724,16,80
10,12,3,9.469,13,65
10,15,3,9.966,15,75
10,11,1,0.238,20,100
10,14,3,8.674,15,75
11,0,2,2.356,13,59
11,15,3,9.264,13,59
11,12,1,0.242,22,100
11,13,2,3.036,19,86.3
11,1,2,3.04,15,68.1
11,0,1,0.245,22,100
11,12,2,2.528,15,68.1
11,15,2,2.578,12,54.5
11,11,2,4.788,21,95.4
11,1,1,0.364,13,59
11,11,1,0.254,22,100
11,14,2,2.608,13,59
11,11,0,3.248,14,63.6
11,14,3,9.281,14,63.6
11,12,0,0.773,22,100
11,0,3,8.169,13,59
11,15,1,0.215,22,100
11,12,3,0,13,59
11,11,3,9.844,17,77.2
11,1,3,8.205,13,59
11,13,1,0.22,12,54.5
11,0,0,1.217,13,59
11,14,0,0.622,13,59
11,15,0,0.22,22,100
11,13,3,0,21,95.4
11,13,0,2.5,13,59
11,14,1,0.238,22,100
11,1,0,1.861,14,63.6
12,0,0,0.568,24,100
12,1,3,9.483,15,62.5
12,0,1,0.257,24,100
12,12,3,0,16,66.6
12,14,3,9.348,17,70.8
12,14,0,1.751,24,100
12,12,2,2.48,13,54.1
12,1,2,4.343,24,100
12,1,0,0.322,24,100
12,11,3,9.423,19,79.1
12,12,1,0.375,13,54.1
12,15,0,0.88,24,100
12,13,3,9.356,24,100
12,13,0,0.291,24,100
12,0,3,8.735,17,70.8
12,0,2,4.699,24,100
12,13,1,0.271,24,100
12,13,2,4.406,24,100
12,15,3,0,20,83.3
12,14,2,2.683,14,58.3
12,11,1,0.385,13,54.1
12,11,0,4.018,15,62.5
12,15,2,5.319,24,100
12,12,0,4.417,15,62.5
12,1,1,0.274,24,100
12,15,1,0.282,24,100
12,11,2,3.111,16,66.6
12,14,1,0.292,24,100
13,15,0,2.55,16,61.5
13,0,0,0.409,26,100
13,12,3,0,17,65.3
13,12,2,4.131,16,61.5
13,11,0,0.344,26,100
13,1,3,9.5,20,76.9
13,14,2,2.645,15,57.6
13,0,2,2.4,18,69.2
13,11,2,2.551,15,57.6
13,12,0,11.478,14,53.8
13,15,2,4.393,26,100
13,14,0,25.548,16,61.5
13,13,0,0.53,26,100
13,11,3,0,16,61.5
13,11,1,0.311,26,100
13,13,3,9.444,17,65.3
13,14,1,0.393,14,53.8
13,0,3,9.121,18,69.2
13,12,1,0.347,14,53.8
13,15,1,0.441,14,53.8
13,13,2,6.156,26,100
13,1,0,0.569,26,100
13,15,3,0,17,65.3
13,0,1,0.312,26,100
13,13,1,0.311,26,100
13,1,1,0.309,26,100
13,14,3,8.059,15,57.6
13,1,2,3.995,26,100
14,11,2,4.883,28,100
14,11,3,0,23,82.1
14,0,0,6.834,17,60.7
14,0,1,0.388,15,53.5
14,13,3,9.551,24,85.7
14,12,0,3.804,16,57.1
14,1,3,8.828,17,60.7
14,0,2,2.459,20,71.4
14,15,3,0,20,71.4
14,11,0,4.821,16,57.1
14,1,2,2.521,15,53.5
14,0,3,0,22,78.5
14,12,1,0.435,15,53.5
14,13,0,3.016,16,57.1
14,15,0,4.905,17,60.7
14,15,1,0.342,15,53.5
14,12,2,5.278,28,100
14,14,2,4.181,25,89.2
14,13,1,1.117,15,53.5
14,15,2,4.511,28,100
14,1,1,0.467,15,53.5
14,14,3,0,24,85.7
14,11,1,0.423,15,53.5
14,12,3,0,24,85.7
14,14,1,0.416,15,53.5
14,14,0,4.107,15,53.5
14,1,0,61.179,17,60.7
14,13,2,3.999,25,89.2
15,0,3,0,18,60
15,13,0,3.269,16,53.3
15,11,0,4.946,17,56.6
15,11,3,8.708,29,96.6
15,14,2,3.683,18,60
15,13,1,0.443,16,53.3
15,12,0,2.192,30,100
15,14,3,8.864,19,63.3
15,1,0,3.285,30,100
15,15,3,0,16,53.3
15,12,1,0.393,30,100
15,15,1,0.505,16,53.3
15,1,3,8.711,20,66.6
15,1,1,0.403,30,100
15,14,0,11.673,30,100
15,12,2,2.53,30,100
15,13,3,0,19,63.3
15,15,0,4.981,17,56.6
15,11,1,0.42,16,53.3
15,12,3,0,18,60
15,14,1,0.432,30,100
15,0,0,4.4,17,56.6
15,11,2,2.811,30,100
15,0,1,0.533,16,53.3
15,0,2,6.641,30,100
15,13,2,3.941,18,60
15,15,2,8.369,30,100
15,1,2,5.545,30,100
16,13,3,0,20,62.5
16,13,0,3.264,17,53.1
16,14,3,8.801,24,75
16,0,3,0,20,62.5
16,11,2,3.208,32,100
16,1,3,9.213,29,90.6
16,12,2,4.471,32,100
16,15,3,8.826,32,100
16,12,3,0,24,75
16,13,2,2.794,21,65.6
16,11,3,0,32,100
16,1,2,3.761,32,100
16,14,2,3.171,18,56.2
16,11,1,0.449,32,100
16,14,1,0.594,17,53.1
16,15,2,2.56,32,100
16,12,1,0.446,32,100
16,13,1,0.517,17,53.1
16,1,0,3.312,19,59.3
16,0,1,0.486,17,53.1
16,14,0,7.631,18,56.2
16,15,1,0.561,17,53.1
16,0,0,8.996,19,59.3
16,12,0,1.456,32,100
16,0,2,6.422,32,100
16,15,0,5.047,18,56.2
16,1,1,0.7,17,53.1
16,11,0,0.457,32,100
17,13,1,0.493,34,100
17,11,2,5.035,34,100
17,15,1,0.526,18,52.9
17,0,3,0,22,64.7
17,12,1,0.654,18,52.9
17,1,0,0.452,34,100
17,0,1,0.516,34,100
17,15,3,0,24,70.5
17,11,1,0.499,34,100
17,12,3,9.781,27,79.4
17,1,1,0.498,34,100
17,11,3,9.731,25,73.5
17,12,2,6.876,34,100
17,14,0,52.407,19,55.8
17,14,1,0.58,18,52.9
17,1,2,2.516,18,52.9
17,1,3,9.39,26,76.4
17,12,0,6.446,20,58.8
17,15,0,4.823,19,55.8
17,14,3,9.448,22,64.7
17,15,2,2.961,24,70.5
17,11,0,0.848,34,100
17,0,0,1.161,19,55.8
17,14,2,6.009,34,100
17,0,2,5.878,34,100
17,13,3,9.537,27,79.4
17,13,0,0.526,34,100
17,13,2,4.665,34,100
18,11,3,9.398,26,72.2
18,11,0,18.659,19,52.7
18,0,3,8.718,19,52.7
18,14,0,4.306,21,58.3
18,1,0,16.328,21,58.3
18,1,1,0.564,36,100
18,14,3,9.804,29,80.5
18,1,3,9.981,24,66.6
18,13,1,0.47,19,52.7
18,0,0,5.628,21,58.3
18,15,0,7.216,21,58.3
18,15,3,0,26,72.2
18,12,1,0.71,19,52.7
18,15,1,1.028,19,52.7
18,14,1,0.781,19,52.7
18,13,3,8.828,24,66.6
18,12,3,0,24,66.6
18,12,0,7.66,21,58.3
18,13,2,5.844,36,100
18,13,0,5.089,19,52.7
18,11,1,0.55,19,52.7
18,14,2,4.943,36,100
18,1,2,4.816,36,100
18,12,2,5.055,36,100
18,0,1,0.832,36,100
18,15,2,5.038,36,100
18,11,2,4.17,26,72.2
18,0,2,3.348,19,52.7
19,13,1,0.61,20,52.6
19,1,3,8.78,22,57.8
19,15,1,0.604,38,100
19,12,2,4.536,38,100
19,13,3,9.491,29,76.3
19,1,2,3.923,38,100
19,15,0,0.695,38,100
19,11,1,1.15,20,52.6
19,14,1,0.654,38,100
19,14,0,3.877,38,100
19,0,2,5.051,34,89.4
19,11,3,8.638,26,68.4
19,0,1,0.795,20,52.6
19,12,1,1.03,20,52.6
19,15,3,0,25,65.7
19,1,1,0.774,20,52.6
19,0,0,28.591,22,57.8
19,13,2,5.385,38,100
19,15,2,4.388,38,100
19,12,0,5.163,22,57.8
19,14,3,8.726,23,60.5
19,11,0,30.11,19,50
19,12,3,9.058,36,94.7
19,0,3,9.048,23,60.5
19,11,2,4.024,25,65.7
19,13,0,8.337,21,55.2
19,14,2,4.705,38,100
20,12,1,0.656,21,52.5
20,14,3,0,28,70
20,15,1,0.655,21,52.5
20,0,3,0,27,67.5
20,13,2,4.083,40,100
20,12,3,9.423,28,70
20,12,2,9.945,33,82.5
20,0,0,12.724,22,55
20,0,2,7.711,40,100
20,1,3,0,40,100
20,12,0,13.275,22,55
20,13,3,8.875,30,75
20,15,0,15.842,21,52.5
20,15,3,9.981,30,75
20,11,0,19.027,21,52.5
20,1,2,4.283,23,57.5
20,14,0,1.185,40,100
20,13,0,0.725,40,100
20,15,2,3.663,29,72.5
20,13,1,0.672,40,100
20,11,1,0.74,21,52.5
20,1,1,0.984,21,52.5
20,11,3,0,26,65
20,11,2,0,38,95
20,14,2,5.134,40,100
20,14,1,0.67,40,100
20,0,1,0.744,21,52.5
21,14,3,0,28,66.6
21,0,2,2.858,42,100
21,14,2,5.281,42,100
21,1,2,2.553,23,54.7
21,11,0,0.762,42,100
21,12,0,47.986,24,57.1
21,1,3,8.32,22,52.3
21,0,1,0.82,42,100
21,12,1,0.724,22,52.3
21,13,2,7.353,42,100
21,15,2,5.241,42,100
21,13,0,12.403,24,57.1
21,15,1,0.764,22,52.3
21,12,2,0,40,95.2
21,12,3,8.966,27,64.2
21,0,0,3.096,22,52.3
21,11,3,0,32,76.1
21,11,2,3.681,42,100
21,14,1,1.082,22,52.3
21,1,1,1.206,22,52.3
21,11,1,0.722,42,100
21,13,3,9.318,23,54.7
21,15,3,0,35,83.3
21,13,1,0.975,22,52.3
21,0,3,8.415,42,100
21,14,0,1237.253,24,57.1
22,12,1,0.938,23,52.2
22,13,0,3.577,24,54.5
22,12,3,9.316,32,72.7
22,1,1,0.927,23,52.2
22,12,0,25.777,25,56.8
22,15,2,3.939,30,68.1
22,0,2,0,44,100
22,11,2,4.659,44,100
22,14,3,0,30,68.1
22,14,1,1.201,23,52.2
22,11,0,6.663,24,54.5
22,11,1,1.473,23,52.2
22,15,3,0,33,75
22,13,1,0.817,23,52.2
22,1,3,8.192,44,100
22,13,3,0,41,93.1
22,1,2,2.521,44,100
22,0,1,0.89,44,100
22,14,0,22.288,25,56.8
22,14,2,5.101,44,100
22,0,0,2.725,23,52.2
22,11,3,0,29,65.9
22,15,1,0.77,23,52.2
22,12,2,4.813,44,100
22,13,2,5.007,39,88.6
22,0,3,0,36,81.8
23,0,1,1.134,24,52.1
23,11,0,21.267,26,56.5
23,14,3,9.52,30,65.2
23,12,0,46.069,26,56.5
23,1,1,1.284,24,52.1
23,15,1,0.906,24,52.1
23,12,2,5.488,46,100
23,11,2,5.723,46,100
23,11,1,0.872,24,52.1
23,15,2,5.826,46,100
23,14,1,0.985,24,52.1
23,13,3,0,32,69.5
23,11,3,0,35,76
23,1,3,0,30,65.2
23,12,3,9.283,35,76
23,15,3,0,35,76
23,14,2,5.541,46,100
23,12,1,0.999,24,52.1
