n,t
10,0.122
10,0.163
10,0.076
10,0.192
10,0.087
10,0.087
10,0.087
12,0.087
12,0.095
12,0.143
12,0.085
12,0.139
12,0.13
12,0.077
14,0.312
14,0.201
14,0.209
14,0.108
14,0.159
14,0.206
14,0.1
16,0.137
16,0.124
16,0.142
16,0.199
16,0.143
16,0.146
16,0.139
18,0.167
18,0.839
18,0.29
18,0.159
18,0.196
18,0.252
18,0.221
20,0.218
20,0.77
20,0.451
20,0.233
20,0.22
20,0.191
20,0.238
22,0.242
22,0.245
22,0.364
22,0.254
22,0.215
22,0.22
22,0.238
24,0.257
24,0.375
24,0.271
24,0.385
24,0.274
24,0.282
24,0.292
26,0.311
26,0.393
26,0.347
26,0.441
26,0.312
26,0.311
26,0.309
28,0.388
28,0.435
28,0.342
28,1.117
28,0.467
28,0.423
28,0.416
30,0.443
30,0.393
30,0.505
30,0.403
30,0.42
30,0.432
30,0.533
32,0.449
32,0.594
32,0.446
32,0.517
32,0.486
32,0.561
32,0.7
34,0.493
34,0.526
34,0.654
34,0.516
34,0.499
34,0.498
34,0.58
36,0.564
36,0.47
36,0.71
36,1.028
36,0.781
36,0.55
36,0.832
38,0.61
38,0.604
38,1.15
38,0.654
38,0.795
38,1.03
38,0.774
40,0.656
40,0.655
40,0.672
40,0.74
40,0.984
40,0.67
40,0.744
42,0.82
42,0.724
42,0.764
42,1.082
42,1.206
42,0.722
42,0.975
44,0.938
44,0.927
44,1.201
44,1.473
44,0.817
44,0.89
44,0.77
46,1.134
46,1.284
46,0.906
46,0.872
46,0.985
46,0.999
46,0.875
